date,docx,headline,outlet,topic,url
4/13/15,April 13-19,Diversity drives demand for global lessons,District Administration,Changing classroom demographics have compelled undergraduate and working K12 teachers to expand their knowledge of foreign cultures through programs like IREX’s Teachers for Global Classrooms.,http://www.districtadministration.com/article/diversity-drives-demand-global-lessons
4/13/15,April 13-19,Community Development and Continuing Education Act Launches English Project (Originally in Arabic),Maan News,"Ramallah-maa launched an English program in partnership with IREX, aiming to improve methods of teaching English through the use of drama and civic participation.",http://www.maannews.net/Content.aspx?id=772137
4/15/15,April 13-19,By April 15 – media accreditation for the third international conference “practical mediahramotnist” (Originally in Ukrainian),Tele Kritika,"At the Third International Conference “Practical mediahramotnist,” Ukrainian mediapedahohy, librarians, academics, and representatives of NGOs will seek answers about how to develop media skills and protect against propaganda.",http://www.telekritika.ua/kontekst/2015-04-15/106090
4/16/15,April 13-19,3 ways to solve technology access barriers for girls,Devex,The easiest way to solve the technology gender gap is by designing programs that target girls and exposing them to the transformative power that technology can have in their lives.,https://www.devex.com/news/3-ways-to-solve-technology-access-barriers-for-girls-85929
4/22/15,April 20-26,Young Leaders to Gather in Accra for First Mandela Washington Fellowship Conference,Spy Ghana,"Over 150 young leaders from 21 West African countries are gathering in Accra, Ghana to share their expertise on issues they have defined as critical for the future of Africa.",http://www.spyghana.com/young-leaders-to-gather-in-accra-for-first-mandela-washington-fellowship-conference/
4/23/15,April 20-26,South Africa: First Mandela Washington Fellowship Conference Reunites Fellows in Accra,All Africa,Same as previous,http://allafrica.com/stories/201504231666.html
4/23/15,April 20-26,First Mandela Washington Fellowship Conference Reunites Fellows in Accra,PR Newswire,Same as previous,http://www.prnewswire.co.uk/news-releases/first-mandela-washington-fellowship-conference-reunites-fellows-in-accra-501034391.html
4/24/15,April 20-26,The first conference of Mandela Washington Fellowship Program brings scholars in Accra (Originally in French),Star Africa,Same as previous,http://fr.starafrica.com/actualites/la-premiere-conference-du-programme-mandela-washington-fellowship-reunit-les-boursiers-a-accra.html
4/27/15,April 27 - May 3,Five tips to using media freedom indicies,DW Akademie,"This article presents a list of considerations to take into account when comparing media freedom in various countries, including IREX’s Media Sustainability Index.",http://www.dw.de/five-tips-to-using-media-freedom-indices/a-18403873
4/27/15,April 27 - May 3,FIU selected again as Florida site for Obama’s fellowship for young African leaders,FIU News,"For the second year in a row, Florida International University will be the only university in Florida to host the Mandela Washington Fellowship for Young African Leaders.",http://news.fiu.edu/2015/04/fiu-selected-again-as-florida-site-for-obamas-fellowship-for-young-african-leaders/87612
4/27/15,April 27 - May 3,In Irpen presented first in Ukraine Center for psycho-physical rehabilitation for victims of ATO (Originally in Ukrainian),Kmu.gov,The Military Medical Clinical Center of the Armed Forces of Ukraine opened the first official center of psycho-physical rehabilitation for victims of the UTA.,http://www.kmu.gov.ua/control/uk/publish/article?art_id=248123348&cat_id=244277212
4/27/15,April 27 - May 3,Near Kiev opened the first in Ukraine Center for psycho-physical rehabilitation for the victims of ATO (originally in Russian),Unian.net,Same as previous,http://www.unian.net/society/1072156-pod-kievom-otkryili-pervyiy-v-ukraine-tsentr-psiho-fizicheskoy-reabilitatsii-dlya-postradavshih-v-ato.html
4/27/15,April 27 - May 3,Ethiopia: Conflating terrorism and journalism in Ethiopia,All Africa,"Ethiopia’s anti-terrorism proclamation has been strongly criticized, threatening to sentence up to 20 years for anyone who publishes content that could be understood as an inducement to an act of terrorism.",http://allafrica.com/stories/201505041216.html
4/29/15,April 27 - May 3,Media freedom around the world: New website offers rankings at a glance,DW Akademie,"To mark World Press Freedom Day, DW Akademie launched a website featuring information about media freedom worldwide. ",http://www.dw.de/media-freedom-around-the-world-new-website-offers-rankings-at-a-glance/a-18416308
4/29/15,April 27 - May 3,German wave offers Navigator on media freedom (Originally in German),PR Journal,The “Media Freedom Navigator” is an interactive site that provides comprehensive information on the global situation of media freedom.,http://www.pr-journal.de/nachrichten/medien/15991-deutsche-welle-bietet-navigator-zur-medienfreiheit.html
4/30/15,April 27 - May 3,"In honor of Press Freedom Day, May 3: DW offers a press freedom navigator",DW Akademie,"To mark World Press Freedom Day, DW Akademie launched an interactive website that provides extensive information about the state of press freedom around the world.",http://www.dw.de/in-honor-of-press-freedom-day-may-3-dw-offers-a-press-freedom-navigator/a-18421131
4/30/15,April 27 - May 3,World Press Freedom Day: Experts fault increasing attacks on journalists in Kenya,Standard Media,Increasing unwarranted attacks on journalists in Kenya has led the country to be classified as “partially free” in terms of press freedom.,https://www.standardmedia.co.ke/mobile/?articleID=2000160529&story_title=world-press-freedom-day-experts-fault-attacks-on-journalists-in-kenya
4/30/15,April 27 - May 3,Media faces stiff regulation to cover Baku’s Euro games,Silk Road Reporters,Azerbaijan has imposed very strict rules on foreign journalists covering the upcoming June European Games.,http://www.silkroadreporters.com/2015/04/30/media-faces-stiff-regulation-to-cover-bakus-euro-games/
5/2/15,April 27 - May 3,Educational Qalqiliya involved marathon athlete my health my life (Originally in Arabic),Al Watan Voice,"The marathon “My health is my life,” organized by Qalqilya Club, hosted 120 racers and was implemented in cooperation with IREX.",http://www.alwatanvoice.com/arabic/news/2015/05/02/707667.html
5/4/15,April 27 - May 3,Hope for fourth estate in Eastern Europe despite many hardships,Reuters,IREX’s 2015 Media Sustainability Index for Europe and Eurasia highlights findings on media trends in freedom of speech and quality journalism in the region.  This story was posted to 192 websites!,http://www.reuters.com/article/2015/05/04/irex-media-health-idUSnPn13jKcW+85+PRN20150504
4/6/15,April 6-12,Press Releases: Announcement of Host University Partners for 2015 Mandela Washington Fellowship,Newsroom America,The US Department of State announces the colleges and universities that have been selected to host the 2015 Mandela Washington Fellowship for Young African Leaders this summer.,http://www.newsroomamerica.com/story/485472/press_releases_announcement_of_host_university_partners_for_2015_mandela_washington_fellowship.html
4/6/15,April 6-12,The opening of the Youth Leadership Program in Youth Development Resource Center – Qalqilya Ahli Club (Originally in Arabic),Raya,"After training with IREX, Qalqilya club opens its first youth leadership program.",http://www.raya.ps/ar/raya-sports/895431.html
4/9/15,April 6-12,Frozen Conflicts: Professor Anna Ohanyan Set to Publish New Book,Stonehill College,Political Science professor Anna Ohanyan (whose research has been supported by IREX) publishes her new book Networked Regionalism as Conflict Management.,http://www.stonehill.edu/news-media/news/details/frozen-conflicts-professor-anna-ohanyan-set-to-publish-new-book/
8/11/15,Aug 10-16,"B-Flow thanks Obama, US for recognizing him",Post Zambia,Zambian musician B-Flow says President Obama’s recognition of his talent will help raise the profile of African artists.,http://www.postzambia.com/news.php?id=10432
